Title,Abstract,Code Repository Link,Dataset Link,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy ,"Statistical shape modeling is the computational process of discovering significant shape parameters from segmented anatomies captured by medical images (such as MRI and CT scans), which can fully describe subject-specific anatomy in the context of a population. The presence of substantial non-linear variability in human anatomy often makes the traditional shape modeling process challenging. Deep learning techniques can learn complex non-linear representations of shapes and generate statistical shape models that are more faithful to the underlying population-level variability. However, existing deep learning models still have limitations and require established/optimized shape models for training. We propose Mesh2SSM, a new approach that leverages unsupervised, permutation-invariant representation learning to estimate how to deform a template point cloud to subject-specific meshes, forming a correspondence-based shape model. Mesh2SSM can also learn a population-specific template, reducing any bias due to template selection. The proposed method operates directly on meshes and is computationally efficient, making it an attractive alternative to traditional and deep learning-based SSM approaches.",https://github.com/iyerkrithika21/mesh2SSM_2023/tree/main,http://medicaldecathlon.com/,Semi-/Weakly-/Un-/Self-supervised Representation Learning,Computer Aided Diagnosis,,,,,,,,
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging ,"In medical image analysis, transfer learning is a powerful method for deep neural networks (DNNs) to generalize on limited medical data. Prior efforts have focused on developing pre-training algorithms on domains such as lung ultrasound, chest X-ray, and liver CT to bridge domain gaps. However, we find that model fine-tuning also plays a crucial role in adapting medical knowledge to target tasks. The common finetuning method is manually picking transferable layers (e.g., the last few layers) to update, which is labor-expensive. In this work, we propose a meta-learning-based learning rate (LR) tuner, named MetaLR, to make different layers automatically co-adapt to downstream tasks based on their transferabilities across domains. MetaLR learns LRs for different layers in an online fashion, preventing highly transferable layers from forgetting their medical representation abilities and driving less transferable layers to adapt actively to new domains. Extensive experiments on various medical applications show that MetaLR outperforms previous state-of-the-art (SOTA) fine-tuning strategies. Codes are released.",https://github.com/Schuture/MetaLR,https://github.com/jannisborn/covid19 ultrasound,Transfer learning,Computer Aided Diagnosis,Data Efficient Learning,Meta-learning,CT,Ultrasound,,,,
M-FLAG: Medical Vision-Language Pre-training with Frozen Language Models and Latent Space Geometry Optimization ,"This paper presents a novel approach to addressing the problem of chaotic latent space in self-supervised medical vision-language processing (VLP). Our proposed method is called Medical vision-language pre-training with Frozen language models and Latent spAce Geometry optimization (M-FLAG), which leverages a frozen language model for training stability and efficiency and employs two losses (a novel vision uniformity loss and a vision-language alignment loss) to harmonize the latent space geometry during VLP.
Our extensive experimental results on three diverse downstream tasks: supervised image classification, semantic segmentation, and object detection, across five public datasets, demonstrate that M-FLAG significantly outperforms existing medical VLP approaches with much lower model complexity (reducing the number of parameters by 78%). Notably, M-FLAG achieves outstanding performance on the segmentation task while using only 1% of the RSNA dataset, even outperforming ImageNet pre-trained models that have been fine-tuned using 100% of the data.",https://github.com/cheliu-computation/m-flag-miccai2023,,Semi-/Weakly-/Un-/Self-supervised Representation Learning,Data Efficient Learning,other,Text (clinical/radiology reports),,,,,,
M-GenSeg: Domain Adaptation For Target Modality Tumor Segmentation With Annotation-Efficient Supervision ,"Automated medical image segmentation using deep neural networks typically requires substantial supervised training. However, these models fail to generalize well across different imaging modalities. This shortcoming, amplified by the limited availability of expert annotated data, has been hampering the deployment of such methods at a larger scale across modalities. To address these issues, we propose M-GenSeg, a new semi-supervised generative training strategy for cross-modality tumor segmentation on unpaired bi-modal datasets. With the addition of known healthy images, an unsupervised objective encourages the model to disentangling tumors from the background, which parallels the segmentation task. Then, by teaching the model to convert images across modalities, we leverage available pixel-level annotations from the source modality to enable segmentation in the unannotated target modality. We evaluated the performance on a brain tumor segmentation dataset composed of four different contrast sequences from the public BraTS 2020 challenge data. We report consistent improvement in Dice scores over state-of-the-art domain-adaptive baselines on the unannotated target modality. Unlike the prior art, M-GenSeg also introduces the ability to train with a partially annotated source modality.",https://github.com/MaloADBA/MGenSeg_2D,https://www.med.upenn.edu/cbica/brats2020/registration.html,Image Segmentation,Data Efficient Learning,Semi-/Weakly-/Un-/Self-supervised Representation Learning,MRI,,,,,,
Microstructure Fingerprinting for Heterogeneously Oriented Tissue Microenvironments ,"Most diffusion biophysical models capture basic properties of tissue microstructure, such as diffusivity and anisotropy. More realistic models that reate the diffusion-weighted signal to cell size and membrane permeability often require simplifying assumptions such as short gradient pulse and Gaussian phase distribution, leading to statistical features relating to tissue properties instead of real quantitative measurements. Here, we propose a method to quantify tissue microstructure without jeopardizing accuracy owing to unrealistic assumptions. Our method utilize realistic signals simulated from the geometries of cellular microenvironments as fingerprints, which are then employed in a spherical mean estimation framework to disentangle the effects of orientation dispersion from the microscopic tissue properties. We demonstrate the efficacy of microstructure fingerprinting in estimating intra-cellular, extra-cellular, and intra-soma volume fractions as well as axon radius, soma radius, and membrane permeability.",,,Neuroimaging - DWI and Tractography,MRI,,,,,,,,
Minimal-supervised Medical Image Segmentation via Vector Quantization Memory ,"Medical image segmentation is a critical key task for computer-assisted diagnosis and disease monitoring. However, collecting a large-scale medical dataset with well-annotation is time-consuming and requires domain knowledge. Reducing the number of annotations poses two challenges: obtaining sufficient supervision and generating high-quality pseudo labels. To address these, we propose a universal framework for annotation-efficient medical segmentation, which is capable of handling both scribble-supervised and point-supervised segmentation. Our approach includes an auxiliary reconstruction branch that provides more supervision and backward sufficient gradients for learning visual representations. Besides, a novel pseudo label generation branch utilizes the VQ bank to store texture-oriented and global features for generating pseudo labels. To boost the model training, we generate high-quality pseudo labels by mixing the segmentation prediction and pseudo labels from the VQ bank. The experiments on the ACDC MRI segmentation dataset demonstrate the effectiveness of our proposed method. We obtain a comparable performance (0.86 vs. 0.87 DSC score).",,,Image Segmentation,Semi-/Weakly-/Un-/Self-supervised Representation Learning,,,,,,,,
Mining Negative Temporal Contexts For False Positive Suppression In Real-Time Ultrasound Lesion Detection ,"During ultrasonic scanning processes, real-time lesion detection can assist radiologists in accurate cancer diagnosis. However, this essential task remains challenging and underexplored. General-purpose real-time object detection models can mistakenly report obvious false positives (FPs) when applied to ultrasound videos, potentially misleading junior radiologists. One key issue is their failure to utilize negative symptoms in previous frames, denoted as negative temporal contexts (NTC). To address this issue, we propose to extract contexts from previous frames, including NTC, with the guidance of inverse optical flow. By aggregating extracted contexts, we endow the model with the ability to suppress FPs by leveraging NTC. We call the resulting model UltraDet. The proposed UltraDet demonstrates significant improvement over previous state-of-the-arts and achieves real-time inference speed. We release the code, checkpoints, and high-quality labels of the CVA-BUS dataset used in our experiments in https://github.com/HaojunYu1998/UltraDet.",https://github.com/HaojunYu1998/UltraDet,https://github.com/HaojunYu1998/UltraDet,Ultrasound,Video,,,,,,,,
MI-SegNet: Mutual Information-Based US Segmentation for Unseen Domain Generalization ,"Generalization capabilities of learning-based medical image segmentation across domains are currently limited by the performance degradation caused by the domain shift, particularly for ultrasound (US) imaging. The quality of US images heavily relies on carefully tuned acoustic parameters, which vary across sonographers, machines, and settings. To improve the generalizability on US images across domains, we propose MI-SegNet, a novel mutual information (MI) based framework to explicitly disentangle the anatomical and domain feature representations; therefore, robust domain-independent segmentation can be expected. Two encoders are employed to extract the relevant features for the disentanglement. The segmentation only uses the anatomical feature map for its prediction. In order to force the encoders to learn meaningful feature representations a cross-reconstruction method is used during training. Transformations, specific to either domain or anatomy are applied to guide the encoders in their respective feature extraction task. Additionally, any MI present in both feature maps is punished to further promote separate feature spaces. We validate the generalizability of the proposed domain-independent segmentation approach on several datasets with varying parameters and machines. Furthermore, we demonstrate the effectiveness of the proposed MI-SegNet serving as a pre-trained model by comparing it with state-of-the-art networks.",https://github.com/yuan-12138/MI-SegNet,,Ultrasound,Vascular,Image Segmentation,,,,,,,
Mitigating Calibration Bias Without Fixed Attribute Grouping for Improved Fairness in Medical Imaging Analysis ,"Trustworthy deployment of deep learning medical imaging models into real-world clinical practice requires that they be calibrated. However, models that are well calibrated overall can still be poorly calibrated for a sub-population, potentially resulting in a clinician unwittingly making poor decisions for this group based on the recommendations of the model. Although methods have been shown to successfully mitigate biases across subgroups in terms of model accuracy, this work focuses on the open problem of mitigating calibration biases in the context of medical image analysis. Our method does not require subgroup attributes during training, permitting the flexibility to mitigate biases for different choices of sensitive attributes without re-training. To this end, we propose a novel two-stage method: Cluster-Focal to first identify poorly calibrated samples, cluster them into groups, and then introduce group-wise focal loss to improve calibration bias. We evaluate our method on skin lesion classification with the public HAM10000 dataset, and on predicting future lesional activity for multiple sclerosis (MS) patients. In addition to considering traditional sensitive attributes (e.g. age, sex) with demographic subgroups, we also consider biases among groups with different image-derived attributes, such as lesion load, which are required in medical image analysis.  Our results demonstrate that our method effectively controls calibration error in the worst-performing subgroups while preserving prediction performance, and outperforming recent baselines.",,,Uncertainty,Dermatology,Neuroimaging - Others,Treatment Response and Outcome/Disease Prediction,,,,,,
Mitosis Detection from Partial Annotation by Dataset Generation via Frame-Order Flipping ,"Detection of mitosis events plays an important role in biomedical research. Deep-learning-based mitosis detection methods achieve outstanding performance with a certain amount of labeled data. However, these methods require annotation for each imaging condition. Collecting a certain amount of labeled data is time-consuming and human labor. In this paper, we propose a mitosis detection method that can be trained with partially annotated sequences. The base idea is to generate a fully labeled dataset from the partially annotated sequences. We first generate an image pair which not contain mitosis events by frame-order-flipping. Then, we paste mitosis events to the image pair by alpha-blending-pasting and generate a fully labeled dataset. We demonstrate the performance of our method on four datasets, and we confirm that our method outperforms other comparisons which use partially labeled sequences.",https://github.com/naivete5656/MDPAFOF,https://github.com/naivete5656/MDPAFOF,Microscopy,Semi-/Weakly-/Un-/Self-supervised Representation Learning,,,,,,,,
Mitral Regurgitation Quantification from Multi-channel Ultrasound Images via Deep Learning ,"Mitral regurgitation (MR) is the most common heart valve disease. Prolonged regurgitation can cause changes in the heart size, lead to impaired systolic and diastolic capacity, and even threaten life. In clinical practice, MR is evaluated by the proximal isovelocity surface area (PISA) method, where manual measurements of the regurgitation velocity and the value of PISA radius from multiple ultrasound images are required to obtain the mitral regurgitant stroke volume (MRSV) and effective regurgitant orifice area (EROA). In this paper, we propose a fully automatic method for MR quantification, which follows the pipeline of ECG-based cycle detection, Doppler spectrum segmentation, PISA radius segmentation, and MR quantification. Specifically, for the Doppler spectrum segmentation, we proposed a novel adaptive-weighting multi-channel segmentation network, PISA-net, to accurately identify the upper and lower contours of the PISA radius from a pair of coupled M-mode PISA image and corresponding M-mode decolored image. Using the complementary information of the two coupled images and combing with the spatial attention module, the proposed PISA-net can well identify the contours of the PISA radius and therefore lead to accurate quantification of MR parameters. To the best of our knowledge, this is the first study of automatic MR quantification. Experimental results demonstrated the effectiveness of the whole pipeline, especially the PISA-net for PISA radius segmentation. The full method achieves a high Pearson correlation of 0.994 for both MRSV and EROA, implying its great potential in the clinical application of MR diagnosis.",,,Computer Aided Diagnosis,Cardiac,Image Segmentation,Other,Ultrasound,,,,,
Mixing Temporal Graphs with MLP for Longitudinal Brain Connectome Analysis ,"Analyses of longitudinal brain networks, i.e., graphs, are of significant interest to understand the dynamics of brain changes with respect to aging and neurodegenerative diseases. However, each subject has a graph of heterogeneous structure and time-points as the data are obtained over several years. Moreover, most existing datasets suffer from lack of samples as the images are expensive to acquire, which leads to overfitting in complex deep neural networks. To address these issues for characterizing progressively altered changes of brain connectome and region-wise measures as early as possible, we develop Spatio-Temporal Graph Multi-Layer Perceptron (STGMLP) that mixes features over both graph and time spaces to classify sets of longitudinal human brain connectomes. The proposed model is made efficient and interpretable such that it can be easily adopted to medical imaging datasets and identify personalized features responsible for a specific diagnostic label. Extensive experiments show that our method achieves successful results in both performance and computational efficiency on Alzheimer’s Disease Neuroimaging Initiative (ADNI) and Adolescence Brain Cognitive Development (ABCD) datasets independently.",,,Data Efficient Learning,Neuroimaging - Brain Development,Neuroimaging - DWI and Tractography,MRI,PET/SPECT,,,,,
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis ,"Multiple instance learning exhibits a powerful approach for whole slide image-based diagnosis in the absence of pixel- or patch-level annotations. In spite of the huge size of whole slide images, the number of individual slides is often rather small, leading to a small number of labeled samples. To improve training, we propose and investigate novel data augmentation strategies for multiple instance learning based on the idea of linear and multilinear interpolation of feature vectors within and between individual whole slide images. Based on state-of-the-art multiple instance learning architectures and two thyroid cancer data sets, an exhaustive study was conducted considering a range of common data augmentation strategies. Whereas a strategy based on to the original MixUp approach showed decreases in accuracy, a novel multilinear intra-slide interpolation method led to consistent increases in accuracy.",https://gitlab.com/mgadermayr/mixupmil,https://gitlab.com/mgadermayr/mixupmil,Histopathology,Computer Aided Diagnosis,Data Efficient Learning,,,,,,,
MoCoSR: Respiratory Motion Correction and Super-Resolution for 3D Abdominal MRI ,"Abdominal MRI is critical for diagnosing a wide variety of diseases. However, due to respiratory motion and other organ motions, it is challenging to obtain motion-free and isotropic MRI for clinical diagnosis. Imaging patients with inflammatory bowel disease (IBD) can be especially problematic, owing to involuntary bowel movements and difficulties with long breath-holds during acquisition. Therefore, this paper proposes a deep adversarial super-resolution (SR) reconstruction approach to address the problem of multi-task degradation by utilizing cycle consistency in a staged reconstruction model. We leverage a low-resolution (LR) latent space for motion correction, followed by super-resolution reconstruction, compensating for imaging artefacts caused by respiratory motion and spontaneous bowel movements. This alleviates the need for semantic knowledge about the intestines and paired data. Both are examined through variations of our proposed approach and we compare them to conventional, model-based, and learning-based MC and SR methods. Learned image reconstruction approaches are believed to occasionally hide disease signs. We investigate this hypothesis by evaluating a downstream task, automatically scoring IBD in the area of the terminal ileum on the reconstructed images and show evidence that our method does not suffer a synthetic domain bias.",https://github.com/vito1820/MoCoSR,https://portal.gdc.cancer.gov/projects/TCGA-LIHC,Image Reconstruction,Model Generalizability / Federated Learning,MRI,,,,,,,
Modeling Alzheimers’ Disease Progression from Multi-task and Self-supervised Learning Perspective with Brain Networks ,"Alzheimer’s disease (AD) is a common irreversible neurodegenerative disease among elderlies. Establishing relationships between brain networks and cognitive scores plays a vital role in identifying the progression of AD. However, most of the previous works focus on a single time point, without modeling the disease progression with longitudinal brain networks data. Besides, the longitudinal data is insufficient for sufficiently modeling the predictive models. To address these issues, we propose a Self-supervised Multi-Task learning Progression model SMP-Net for modeling the relationship between longitudinal brain networks and cognitive scores. Specifically, the proposed model is trained in a self-supervised way by designing a masked graph auto-encoder and a  temporal contrastive learning that simultaneously learn the structural and evolutional features from the longitudinal brain networks. Furthermore, we propose a temporal multi-task learning paradigm to model the relationship among multiple cognitive scores prediction tasks. Experiments on the Alzheimer’s Disease Neuroimaging Initiative (ADNI) dataset show the effectiveness of our method and achieve consistent improvements over state-of-the-art methods in terms of Mean Absolute Error (MAE), Pearson Correlation Coefficient (PCC) and Concordance Correlation Coefficient (CCC). Our code is available at https
://github.com/IntelliDAL/Graph/tree/main/SMP-Net.",https://github.com/IntelliDAL/Graph/tree/main/SMP-Net,https://adni.loni.usc.edu/,Semi-/Weakly-/Un-/Self-supervised Representation Learning,MRI,,,,,,,,
ModeT: Learning Deformable Image Registration via Motion Decomposition Transformer ,"The Transformer structures have been widely used in computer vision and have recently made an impact in the area of medical image registration. However, the use of Transformer in most registration networks is straightforward. These networks often merely use the attention mechanism to boost the feature learning as the segmentation networks do, but do not sufficiently design to be adapted for the registration task. In this paper, we propose a novel motion decomposition Transformer (ModeT) to explicitly model multiple motion modalities by fully exploiting the intrinsic capability of the Transformer structure for deformation estimation. The proposed ModeT naturally transforms the multi-head neighborhood attention relationship into the multi-coordinate relationship to model multiple motion modes. Then the competitive weighting module (CWM) fuses multiple deformation sub-fields to generate the resulting deformation field. Extensive experiments on two public brain magnetic resonance imaging (MRI) datasets show that our method outperforms current state-of-the-art registration networks and Transformers, demonstrating the potential of our ModeT for the challenging non-rigid deformation estimation problem. The benchmarks and our code are publicly available at https://github.com/ZAX130/SmileCode.",https://github.com/ZAX130/SmileCode,,Image Registration,Attention models,MRI,,,,,,,
Modularity-Constrained Dynamic Representation Learning for Interpretable Brain Disorder Analysis with Functional MRI ,"Resting-state functional MRI (rs-fMRI) is increasingly used to detect altered functional connectivity patterns caused by brain disorders, thereby facilitating objective quantification of brain pathology. Existing studies typically extract fMRI features using various machine/deep learning methods, but the generated imaging biomarkers are often challenging to interpret. Besides, the brain operates as a modular system with many cognitive/topological modules, where each module contains subsets of densely inter-connected regions-of-interest (ROIs) that are sparsely connected to ROIs in other modules. However, current methods
cannot effectively characterize brain modularity. This paper proposes a
modularity-constrained dynamic representation learning (MDRL) framework for interpretable brain disorder analysis with rs-fMRI. The MDRL consists of 3 parts: (1) dynamic graph construction, (2) modularityconstrained spatiotemporal graph neural network (MSGNN) for dynamic feature learning, and (3) prediction and biomarker detection. In particular, the MSGNN is designed to learn spatiotemporal dynamic representations of fMRI, constrained by 3 functional modules (i.e., central executive network, salience network, and default mode network). To enhance discriminative ability of learned features, we encourage the MSGNN to reconstruct network topology of input graphs. Experimental results on two public and one private datasets with a total of 1, 155 subjects validate that our MDRL outperforms several state-of-the-art methods in fMRI-based brain disorder analysis. The detected fMRI biomarkers have good explainability and can be potentially used to improve clinical diagnosis.",,,Semi-/Weakly-/Un-/Self-supervised Representation Learning,Interpretability / Explainability,,,,,,,,
ModusGraph: Automated 3D and 4D Mesh Model Reconstruction from cine CMR with Improved Accuracy and Efficiency ,"Anatomical heart mesh models created from cine cardiac images are useful for the evaluation and monitoring of cardiovascular diseases, but require challenging and time-consuming reconstruction processes. Errors due to reduced spatial resolution and motion artefacts limit the accuracy of 3D models. We proposed ModusGraph to produce a higher quality 3D and 4D (3D+time) heart models automatically, employing i) a voxel processing module with Modality Handles and a super-resolution decoder to define low-resolution and high-resolution segmentations and correct motion artefacts with multi-modal unpaired data, ii) a Residual Spatial-temporal Graph Convolution Network to generate mesh models by controlled and progressive spatial-temporal deformation to better capture the cardiac motion, and iii) a Signed Distance Sampling process to bridge those two parts for end-to-end training. ModusGraph was trained and evaluated on CT angiograms and cardiovascular MRI cines, showing superior performance compared to other mesh reconstruction methods. It creates well-defined meshes from sparse MRI cines, enabling vertex tracking across cardiac cycle frames. This process aids in analyzing myocardium function and conducting biomechanical analyses from imaging data. https://github.com/MalikTeng/ModusGraph",https://github.com/MalikTeng/ModusGraph,,Computational Anatomy and Physiology,Cardiac,Image Segmentation,Transfer learning,CT,MRI,Visualization in Biomedical Imaging,,,
Morphology-inspired Unsupervised Gland Segmentation via Selective Semantic Grouping ,"Designing deep learning algorithms for gland segmentation is crucial for automatic cancer diagnosis and prognosis, yet the expensive annotation cost hinders the development and application of this technology. In this paper, we make a first attempt to explore a deep learning method for unsupervised gland segmentation, where no manual annotations are required. Existing unsupervised semantic segmentation methods encounter a huge challenge on gland images: They either over-segment a gland into many fractions or under-segment the gland regions by confusing many of them with the background. To overcome this challenge, our key insight is to introduce an empirical cue about gland morphology as extra knowledge to guide the segmentation process. To this end, we propose a novel Morphology-inspired method via Selective Semantic Grouping. We first leverage the empirical cue to selectively mine out proposals for gland sub-regions with variant appearances. Then, a Morphology-aware Semantic Grouping module is employed to summarize the overall information about the gland by explicitly grouping the semantics of its sub-region proposals. In this way, the final segmentation network could learn comprehensive knowledge about glands and produce well-delineated, complete predictions. We conduct experiments on GlaS dataset and CRAG dataset. Our method exceeds the second-best counterpart over 10.56% at mIOU.",https://github.com/xmed-lab/MSSG,https://warwick.ac.uk/fac/cross_fac/tia/data/mildnet/,Image Segmentation,Histopathology,,,,,,,,
Motion Compensated Unsupervised Deep Learning for 5D MRI ,"We propose an unsupervised deep learning algorithm for the
motion-compensated reconstruction of 5D cardiac MRI data from 3D
radial acquisitions. Ungated free-breathing 5D MRI simplifies the scan
planning, improves patient comfort, and offers several clinical benefits
over breath-held 2D exams, including isotropic spatial resolution and the
ability to reslice the data to arbitrary views. However, the current reconstruction
algorithms for 5D MRI take very long computational time,
and their outcome is greatly dependent on the uniformity of the binning
of the acquired data into different physiological phases. The proposed
algorithm is a more data-efficient alternative to current motion-resolved
reconstructions. This motion-compensated approach models the data in
each cardiac/respiratory bin as Fourier samples of the deformed version
of a 3D image template. The deformation maps are modeled by a convolutional
neural network driven by the physiological phase information.
The deformation maps and the template are then jointly estimated from
the measured data. The cardiac and respiratory phases are estimated
from 1D navigators using an auto-encoder. The proposed algorithm is
validated on 5D bSSFP datasets acquired from two subjects.",https://github.com/joseph-kettelkamp/5D_MRI,https://drive.google.com/drive/folders/1E1FvKVhR1ye_xVW-z9_6E65G_R3kFckq?usp=share_link,MRI,Image Reconstruction,,,,,,,,
MPBD-LSTM: A Predictive Model For Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans ,"Colorectal cancer is a prevalent form of cancer, and many patients develop colorectal cancer liver metastasis (CRLM) as a result. Early detection of CRLM is critical for improving survival rates. Radiologists usually rely on a series of multi-phase contrast-enhanced computed tomography (CECT) scans done during follow-up visits to perform early detection of the potential CRLM. These scans form unique five-dimensional data (time, phase, and axial, sagittal, and coronal planes in 3D CT). Most of the existing deep learning models can readily handle four-dimensional data (e.g., time-series 3D CT images) and it is not clear how well they can be extended to handle the additional dimension of phase. In this paper, we build a dataset of time-series CECT scans to aid in the early diagnosis of CRLM, and build upon state-of-the-art deep learning techniques to evaluate how to best predict CRLM. Our experimental results show that a multi-plane architecture based on 3D bi-directioal LSTM, which we call MPBD-LSTM, works best, achieving an area under curve (AUC) of 0.79. On the other hand, analysis of the results shows that there is still great room for further improvement.",https://github.com/XueyangLiOSU/MPBD-LSTM,https://github.com/XueyangLiOSU/MPBD-LSTM,Other,CT,,,,,,,,
MRIS: A Multi-modal Retrieval Approach for Image Synthesis on Diverse Modalities ,"Multiple imaging modalities are often used for disease diagnosis, prediction, or population-based analyses. However, not all modalities might be available due to cost, different study designs, or changes in imaging technology. If the differences between the types of imaging are small, data harmonization approaches can be used; for larger changes, direct image synthesis approaches have been explored.  In this paper, we develop an approach, MRIS, based on multi-modal metric learning to synthesize images of diverse modalities. We use metric learning via multi-modal image retrieval, resulting in embeddings that can relate images of different modalities. Given a large image database, the learned image embeddings allow us to use k-nearest neighbor regression for image synthesis. Our driving medical problem is knee osteoarthritis, but our developed method is general after proper image alignment. We test our approach by synthesizing cartilage thickness maps obtained from 3D magnetic resonance images using 2D radiographs. Our experiments show that the proposed method outperforms direct image synthesis and that the synthesized thickness maps retain information relevant to downstream tasks such as progression prediction and Kellgren-Lawrence grading. Our results suggest that retrieval approaches can be used to obtain high-quality and meaningful image synthesis results given large image databases.",https://github.com/uncbiag/MRIS,https://nda.nih.gov/oai/,Image Reconstruction,Semi-/Weakly-/Un-/Self-supervised Representation Learning,MRI,other,,,,,,
MSKdeX: Musculoskeletal (MSK) decomposition from an X-ray image for fine-grained estimation of lean muscle mass and muscle volume ,"Musculoskeletal diseases such as sarcopenia and osteoporosis are major obstacles to health during aging. Although dual-energy X-ray absorptiometry (DXA) and computed tomography (CT) can be used to evaluate musculoskeletal conditions, frequent monitoring is difficult due to the cost and accessibility (as well as high radiation exposure in the case of CT). We propose a method (named MSKdeX) to estimate fine-grained muscle properties from a plain X-ray image, a low-cost, low-radiation, and highly accessible imaging modality, through musculoskeletal decomposition leveraging fine-grained segmentation in CT. We train a multi-channel quantitative image translation model to decompose an X-ray image into projections of CT of individual muscles to infer the lean muscle mass and muscle volume. We propose the object-wise intensity-sum loss, a simple yet surprisingly effective metric invariant to muscle deformation and projection direction, utilizing information in CT and X-ray images collected from the same patient. While our method is basically an unpaired image translation, we also exploit the nature of the bone’s rigidity, which provides the paired data through 2D-3D rigid registration, adding strong pixel-wise supervision in unpaired training. Through the evaluation using a 539-patient dataset, we showed that the proposed method significantly outperformed conventional methods. The average Pearson correlation coefficient between the predicted and CT-derived ground truth metrics was increased from 0.424 to 0.857. We believe our method opened up a new musculoskeletal diagnosis method and has the potential to be extended to broader applications in multi-channel quantitative image translation tasks.",,,Musculoskeletal,Computer Aided Diagnosis,Image Reconstruction,Semi-/Weakly-/Un-/Self-supervised Representation Learning,CT,other,,,,
MulHiST: Multiple Histological Staining for Thick Biological Samples via Unsupervised Image-to-Image Translation ,"The conventional histopathology paradigm can provide the gold standard for clinical diagnosis, which, however, suffers from lengthy processing time and requires costly laboratory equipment. Recent advancements made in deep learning for computational histopathology have sparked lots of efforts in achieving a rapid chemical-free staining technique. Yet, existing approaches are limited to well-prepared thin sections, and invalid in handling more than one stain. In this paper, we present a multiple histological staining model for thick tissues (MulHiST), without any laborious sample preparation, sectioning, and staining process. We use the grey-scale light-sheet microscopy image of thick tissues as model input and transfer it into different histologically stained versions, including hematoxylin and eosin (H&E), Masson’s trichrome (MT), and periodic acid-Schiff (PAS). This is the first work that enables the automatic and simultaneous generation of multiple histological staining for thick biological samples. Moreover, we empirically demonstrate that the AdaIN-based generator offers an advantage over other configurations to achieve higher-quality multi-style image generation. Extensive experiments also indicated that multi-domain data fusion is conducive to the model capturing shared pathological features. We believe that the proposed MulHiST can potentially be applied in clinical rapid pathology and will significantly improve the current histological workflow.",https://github.com/TABLAB-HKUST/MulHiST,,Computational (Integrative) Pathology,Image Reconstruction,Histopathology,,,,,,,
Multi-Head Multi-Loss Model Calibration ,"Delivering meaningful uncertainty estimates is essential for a successful deployment of machine learning models in the clinical practice. A central aspect of uncertainty quantification is the ability of a model to return predictions that are well-aligned with the actual probability of the model being correct, also known as model calibration. Although many methods have been proposed to improve calibration, no technique can match the simple, but expensive approach of training an ensemble of deep neural networks. In this paper we introduce a form of simplified ensembling that bypasses the costly training and inference of deep ensembles, yet it keeps its calibration capabilities. The idea is to replace the common linear classifier at the end of a network by a set of heads that are supervised with different loss functions to enforce diversity on their predictions. Specifically, each head is trained to minimize a weighted Cross-Entropy loss, but the weights are different among the different branches. We show that the resulting averaged predictions can achieve excellent calibration without sacrificing accuracy in two challenging datasets for histopathological and endoscopic image classification. Our experiments indicate that Multi-Head Multi-Loss classifiers are inherently well-calibrated, outperforming other recent calibration techniques and even challenging Deep Ensembles’ performance. Code to reproduce our experiments can be found at \url{https://github.com/witheld}",https://github.com/agaldran/mhml_calibration,https://bupt-ai-cz.github.io/HSA-NRL/,Uncertainty,Interpretability / Explainability,,,,,,,,
Multi-IMU with Online Self-Consistency for Freehand 3D Ultrasound Reconstruction ,"Ultrasound (US) imaging is a popular tool in clinical diagnosis, offering safety, repeatability, and real-time capabilities. Freehand 3D US is a technique that provides a deeper understanding of scanned regions without increasing complexity. However, estimating elevation displacement and accumulation error remains challenging, making it difficult to infer the relative position using images alone. The addition of external lightweight sensors has been proposed to enhance reconstruction performance without adding complexity, which has been shown to be beneficial. We propose a novel online self-consistency network (OSCNet) using multiple inertial measurement units (IMUs) to improve reconstruction performance. OSCNet utilizes a modal-level self-supervised strategy to fuse multiple IMU information and reduce differences between reconstruction results obtained from each IMU data. Additionally, a sequence-level self-consistency strategy is proposed to improve the hierarchical consistency of prediction results among the scanning sequence and its sub-sequences. Experiments on large-scale arm and carotid datasets with multiple scanning tactics demonstrate that our OSCNet outperforms previous methods, achieving state-of-the-art reconstruction performance.",,,Semi-/Weakly-/Un-/Self-supervised Representation Learning,Musculoskeletal,Image Reconstruction,Ultrasound,,,,,,
